2026-04-18T04:53:33.752Z | 404 | GET | /api/health | 0.677ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:54:04.035Z | 401 | GET | /api/me | 13.073ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:54:04.041Z | 401 | GET | /api/me | 1.257ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:54:04.045Z | 401 | GET | /api/me | 1.099ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:54:04.050Z | 401 | GET | /api/me | 1.017ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:54:05.285Z | 404 | GET | /api/health | 1.313ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:54:34.713Z | 404 | GET | /login | 0.504ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Cannot GET /login - Route not found
2026-04-18T04:54:36.670Z | 404 | GET | /api/health | 0.325ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:54:39.521Z | 401 | GET | /api/me | 0.501ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:54:39.524Z | 401 | GET | /api/me | 0.210ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:54:54.332Z | 401 | GET | /api/me | 0.526ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:54:54.350Z | 401 | GET | /api/me | 0.520ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:55:08.214Z | 404 | GET | /api/health | 0.534ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:55:39.544Z | 404 | GET | /api/health | 0.347ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:56:10.965Z | 404 | GET | /api/health | 0.241ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:56:42.412Z | 404 | GET | /api/health | 0.469ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:57:13.913Z | 404 | GET | /api/health | 0.393ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:57:45.292Z | 404 | GET | /api/health | 0.375ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:58:11.789Z | 404 | GET | /login | 0.291ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Cannot GET /login - Route not found
2026-04-18T04:58:14.230Z | 404 | GET | /login | 0.270ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Cannot GET /login - Route not found
2026-04-18T04:58:15.593Z | 401 | GET | /api/me | 0.577ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:58:15.599Z | 401 | GET | /api/me | 0.460ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:58:16.167Z | 401 | GET | /api/me | 0.604ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:58:16.173Z | 401 | GET | /api/me | 0.399ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T04:58:16.706Z | 404 | GET | /api/health | 0.279ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:58:17.452Z | 401 | GET | /api/me | 2.024ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:17.456Z | 401 | GET | /api/me | 1.218ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:29.499Z | 401 | GET | /api/me | 2.848ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:29.503Z | 401 | GET | /api/me | 1.128ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:29.509Z | 401 | GET | /api/me | 2.034ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:29.514Z | 401 | GET | /api/me | 1.134ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T04:58:48.188Z | 404 | GET | /api/health | 0.953ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:59:19.675Z | 404 | GET | /api/health | 0.886ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T04:59:51.117Z | 404 | GET | /api/health | 0.231ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:00:22.543Z | 404 | GET | /api/health | 0.584ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:00:53.993Z | 404 | GET | /api/health | 0.234ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:01:07.649Z | 401 | GET | /api/me | 1.372ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:01:07.655Z | 401 | GET | /api/me | 2.205ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:01:07.660Z | 401 | GET | /api/me | 0.971ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:01:07.664Z | 401 | GET | /api/me | 1.031ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:01:25.488Z | 404 | GET | /api/health | 0.882ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:01:56.928Z | 404 | GET | /api/health | 0.321ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:02:28.387Z | 404 | GET | /api/health | 0.537ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:03:00.509Z | 404 | GET | /api/health | 0.490ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:03:31.254Z | 404 | GET | /api/health | 1.288ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:03:45.152Z | 401 | GET | /api/me | 2.586ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:03:45.158Z | 401 | GET | /api/me | 1.514ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:03:45.163Z | 401 | GET | /api/me | 1.104ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:03:45.169Z | 401 | GET | /api/me | 1.539ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:04:02.691Z | 404 | GET | /api/health | 0.428ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:04:34.108Z | 404 | GET | /api/health | 0.347ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:05:06.137Z | 404 | GET | /api/health | 0.318ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:05:37.150Z | 404 | GET | /api/health | 0.840ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:06:08.693Z | 404 | GET | /api/health | 0.285ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:06:40.138Z | 404 | GET | /api/health | 0.371ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:07:11.619Z | 404 | GET | /api/health | 0.243ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:07:43.078Z | 404 | GET | /api/health | 0.372ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:08:14.607Z | 404 | GET | /api/health | 0.825ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:08:46.084Z | 404 | GET | /api/health | 0.297ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:09:11.045Z | 401 | GET | /api/me | 2.719ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:09:11.052Z | 401 | GET | /api/me | 1.558ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:09:11.059Z | 401 | GET | /api/me | 2.516ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:09:11.067Z | 401 | GET | /api/me | 2.299ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: Invalid or expired token
2026-04-18T05:09:17.566Z | 404 | GET | /api/health | 0.242ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:09:49.049Z | 404 | GET | /api/health | 0.251ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:10:20.588Z | 404 | GET | /api/health | 0.361ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:10:24.500Z | 401 | GET | /api/me | 0.715ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T05:10:24.505Z | 401 | GET | /api/me | 0.391ms | User: guest | IP: ::ffff:172.18.0.1 | Body: - | Msg: No token provided
2026-04-18T05:10:52.083Z | 404 | GET | /api/health | 0.465ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:11:23.572Z | 404 | GET | /api/health | 0.369ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:11:55.071Z | 404 | GET | /api/health | 0.263ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:12:26.535Z | 404 | GET | /api/health | 0.513ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:12:58.000Z | 404 | GET | /api/health | 0.384ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:13:29.465Z | 404 | GET | /api/health | 0.203ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:14:00.980Z | 404 | GET | /api/health | 0.691ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
2026-04-18T05:14:32.505Z | 404 | GET | /api/health | 0.604ms | User: guest | IP: ::1 | Body: - | Msg: Cannot GET /api/health - Route not found
